plaintext: 0000000000000000
key: 0000000000000000
(step round) function: state
  (0) add_key:   0000000000000000
  (0 0) add_consts: 4000510020003100
  (0 0) sub_cells:  9ccc05cc6cccb5cc
  (0 0) shift_rows: 9ccc5cc0cc6ccb5c
  (0 0) mix_cols:   77f5e24d84bae15e
  (0 1) add_consts: 37f5b14da4bad25e
  (0 1) sub_cells:  bd208597f98f7601
  (0 1) shift_rows: bd2059788ff91760
  (0 1) mix_cols:   ebe9263ec76c56fd
  (0 2) add_consts: abe9713ee76c61fd
  (0 2) sub_cells:  f81ed5b11da4a527
  (0 2) shift_rows: f81e5b1da41d7a52
  (0 2) mix_cols:   52dd9d612448fde4
  (0 3) add_consts: 13ddca610548cae4
  (0 3) sub_cells:  5b774fa5c0934f19
  (0 3) shift_rows: 5b77fa5493c094f1
  (0 3) mix_cols:   8ec92ad0c0805afd
  (1) add_key:   8ec92ad0c0805afd
  (1 4) add_consts: cdc97dd0e3806dfd
  (1 4) sub_cells:  474ed77c1b3ca727
  (1 4) shift_rows: 474e77cd3c1b7a72
  (1 4) mix_cols:   c4319ccc1ce10a80
  (1 5) add_consts: 8331cacc3be13c80
  (1 5) sub_cells:  3bb54f44b815b43c
  (1 5) shift_rows: 3bb5f44415b8cb43
  (1 5) mix_cols:   a13641617c4b924d
  (1 6) add_consts: e63614615b4ba74d
  (1 6) sub_cells:  1aba59a50898fd97
  (1 6) shift_rows: 1aba9a5598087fd9
  (1 6) mix_cols:   2a691c2f35539290
  (1 7) add_consts: 6d694f2f1253a190
  (1 7) sub_cells:  a7ae9262560bf5ec
  (1 7) shift_rows: a7ae26290b56cf5e
  (1 7) mix_cols:   71c7dfc5ba21e242
  (2) add_key:   71c7dfc5ba21e242
  (2 8) add_consts: 37c788c59c21d542
  (2 8) sub_cells:  bd4d3340e4657096
  (2 8) shift_rows: bd4d340365e46709
  (2 8) mix_cols:   91cb7a5c25c483da
  (2 9) add_consts: d4cb2d5c00c4b4da
  (2 9) sub_cells:  79486704cc49897f
  (2 9) shift_rows: 7948704649ccf897
  (2 9) mix_cols:   d0d5fa738dbea843
  (2 10) add_consts: 93d5ac73aebe9e43
  (2 10) sub_cells:  eb70f4dbf181e19b
  (2 10) shift_rows: eb704dbf81f1be19
  (2 10) mix_cols:   fabc38226e92fbae
  (2 11) add_consts: bdbc6c224992cfae
  (2 11) sub_cells:  8784a4669ee642f1
  (2 11) shift_rows: 8784466ae69e142f
  (2 11) mix_cols:   fd5b2cc85d145c49
  (3) add_key:   fd5b2cc85d145c49
  (3 12) add_consts: ba5b7dc87a146d49
  (3 12) sub_cells:  8f08d743df59a79e
  (3 12) shift_rows: 8f08743d59dfea79
  (3 12) mix_cols:   4b47d8718e0c395c
  (3 13) add_consts: 0d478b71a80c0a5c
  (3 13) sub_cells:  c79d38d5f3c4cf04
  (3 13) shift_rows: c79d8d53c4f34cf0
  (3 13) mix_cols:   e174dcb776daa32d
  (3 14) add_consts: a5748bb752da942d
  (3 14) sub_cells:  f0d9388d067fe967
  (3 14) shift_rows: f0d988d37f067e96
  (3 14) mix_cols:   1ad1d194321711cc
  (3 15) add_consts: 5bd18794131727cc
  (3 15) sub_cells:  08753de95b5d6d44
  (3 15) shift_rows: 0875de935d5b46d4
  (3 15) mix_cols:   fd59154ec48054f5
  (4) add_key:   fd59154ec48054f5
  (4 16) add_consts: be59404ee78061f5
  (4 16) sub_cells:  810e9c911d3ca520
